S. No.,Method,Acc,Instrument,Qty,Buy Price,Sell Price,Stop Loss,Buy Date,Sell Date
74,MISC,RA1144,SUNTV,100,527.2,569.55,,05-07-21,30-07-21
75,MISC,RA1144,RAJESHEXPO,254,590.2,"1,000.00",,07-07-21,28-07-21
76,MISC,RA1144,COFFEEDAY,"2,307",46.74,43.2,,08-07-21,28-07-21
77,MISC,UT0149,RBLBANK,412,217.6,229.1,,12-07-21,25-08-23
78,3*3,RA1144,ASIANTILES,457,185.5,621,,14-07-21,
79,MISC,RA1144,PNB,"1,228",40.8,39.65,,14-07-21,28-07-21
80,MISC,RA1144,SYMPHONY,46,"1,072.20","1,030.20",,14-07-21,28-07-21
81,3*3,RA1144,UNIONBANK,"1,355",36.9,43.3,,14-07-21,05-09-22
82,3*3,UT0149,TVTODAY,230,301.24,389.1,,16-07-21,04-02-22
83,MISC,RA1144,GIPCL,653,91.34,102.2,,16-07-21,28-07-21
84,MISC,RA1144,SAMMAANCAP,253,274.72,287.2,,16-07-21,28-07-21
85,MISC,UT0149,BATAINDIA,38,"1,614.96","1,694.25",,19-07-21,02-08-21
86,3*3,UT0149,SAMMAANCAP,230,271.49,117.71,,19-07-21,06-05-25
87,MISC,UT0149,PNBHOUSING,87,706.51,536.28,,19-07-21,05-06-23
88,MISC,UT0149,MASFIN,96,861.76,922.7,,19-07-21,07-11-22
89,MISC,UT0149,SUNTV,114,532.99,569.55,,19-07-21,30-07-21
90,MISC,UT0149,MAZDOCK,240,260.2,296.96,,19-07-21,03-11-21
91,MISC,UT0149,PNBGILTS,859,73.28,73.3,,19-07-21,22-08-22
92,3*3,UT0149,VAIBHAVGBL,139,797.52,217.8,,22-07-21,06-05-25
93,MISC,UT0149,ITC,360,209.41,214.78,,22-07-21,26-07-21
94,MISC,RA1144,AFFLE,12,"4,340.20","5,365.20",,26-07-21,27-09-21
95,GEM,A01144,AMNPLST,241,124.27,98,,26-07-21,05-06-23
96,GEM,A01144,IOLCP,40,690.75,450.09,,26-07-21,05-06-23
97,MISC,A01144,SAHYADRI,12,798.2,340.57,,26-07-21,05-06-23
98,GEM,A01144,ASALCBR,131,461,524.7,,26-07-21,10-01-22
99,GEM,A01144,GLOBUSSPR,10,730.2,"1,503.80",,26-07-21,10-01-22
100,GEM,A01144,MANALIPETC,630,95.3,115.2,,26-07-21,10-01-22
101,GEM,A01144,GOLDIAM,47,594.84,"1,018.50",,26-07-21,14-09-21
102,GEM,A01144,TITANBIO,87,344.47,345,,26-07-21,14-09-21
103,MISC,RA1144,MASFIN,62,805.2,830.2,,26-07-21,19-10-22
104,3*3,RA1144,ASIANTILES,450,178.2,621,,27-07-21,
105,MISC,UT0149,LICHSGFIN,178,421.51,422.9,,27-07-21,05-09-22
106,3*3,RA1144,ATULAUTO,335,213.05,253.2,,27-07-21,13-10-22
107,MISC,UT0149,ATGL,52,894.43,"1,260.70",,27-07-21,27-08-21
108,3*3,RA1144,COFFEEDAY,"1,930",39.3,52.4,,27-07-21,05-09-22
109,3*3,RA1144,DEN,"1,369",51.25,50.25,,27-07-21,18-09-23
110,3*3,RA1144,FORCEMOT,50,"1,489.85","1,575.20",,27-07-21,15-09-21
111,3*3,RA1144,GIPCL,"2,155",92.92,103.2,,27-07-21,21-04-22
112,3*3,RA1144,HATHWAY,"2,760",25.4,24.85,,27-07-21,08-01-24
113,MISC,RA1144,HDFCBANK,35,"1,458.30","1,547.35",,27-07-21,14-09-21
114,3*3,RA1144,INDIANB,415,138.85,167.95,,27-07-21,30-05-22
115,3*3,RA1144,JPPOWER,"12,591",4.8,21,,27-07-21,08-02-24
116,GEM,RA1144,KOTAKBANK,29,"1,722.95","1,875.75",,27-07-21,14-09-21
117,MISC,UT0149,NEWGEN,80,612.62,636.2,,27-07-21,13-01-22
118,3*3,RA1144,PNB,"2,050",33.05,53.3,,27-07-21,22-12-22
119,3*3,RA1144,RAJESHEXPO,118,596.95,"1,000.00",,27-07-21,14-09-21
120,3*3,RA1144,SAMMAANCAP,257,272.7,187.2,,27-07-21,12-09-23
121,3*3,RA1144,SYMPHONY,101,"1,002.35","1,118.20",,27-07-21,24-02-23
122,3*3,RA1144,UJJIVAN,304,230.5,200.95,,27-07-21,05-09-22
123,3*3,RA1144,UJJIVANSFB,"2,530",28,26.3,,27-07-21,03-11-22
124,3*3,RA1144,UNIONBANK,"1,960",36.15,43.3,,27-07-21,05-09-22
125,3*3,RA1144,WELCORP,381,133.8,179.5,,27-07-21,07-01-22
126,3*3,RA1144,YESBANK,"8,050",12.94,14.05,,27-07-21,10-01-22
127,MISC,RA1144,HAL,145,"1,029.75","1,314.82",,28-07-21,27-08-21
128,MISC,UT0149,DCMSHRIRAM,54,937.2,"1,200.65",,30-07-21,06-10-21
129,GEM,A01144,KILPEST,122,576.04,400.04,,06-08-21,05-06-23
130,GEM,A01144,KOPRAN,211,217.02,323.2,,09-08-21,10-01-22
131,3*3,RA1144,CANBK,100,153,155.9,,12-08-21,14-09-21
132,MISC,RA1144,ZEEL,542,171.53,240.2,,20-08-21,14-09-21
133,3*3,A01144,JPPOWER,"7,741",3.87,4.15,,23-08-21,14-09-21
134,3*3,UT0149,TATAMOTORS,36,277.52,306.5,,23-08-21,14-09-21
135,3*3,A01144,WELCORP,427,114.95,123.65,,23-08-21,14-09-21
136,3*3,UT0149,NMDC,340,155.18,155.18,,24-08-21,05-06-23
137,GEM,UT0149,IDFCFIRSTB,"1,165",43,49.8,,24-08-21,05-09-22
138,3*3,A01144,ATULAUTO,147,194.92,201.7,,24-08-21,14-09-21
139,3*3,A01144,CANBK,546,155.08,156.1,,24-08-21,14-09-21
140,3*3,A01144,DEN,636,46.95,50.8,,24-08-21,14-09-21
141,3*3,A01144,FORCEMOT,20,"1,274.35","1,433.90",,24-08-21,14-09-21
142,3*3,A01144,HATHWAY,"2,356",23.33,24.75,,24-08-21,14-09-21
